"","p","E_t0"
"1",2,8.54
"2",3,19.08
"3",4,28.49
"4",5,37.92
"5",6,45.42
"6",7,52.57
"7",8,60.38
"8",9,66.42
"9",10,72.89
"10",11,79.52
"11",12,81.93
"12",13,88.72
"13",14,91.96
"14",15,96.33
"15",16,99.26
"16",17,101.55
"17",18,107.37
"18",19,106.92
"19",20,108.76
"20",21,111.19
"21",22,115.18
"22",23,116.85
"23",24,117.13
"24",25,120.11
"25",26,122.37
"26",27,122.13
"27",28,122.01
"28",29,126.12
"29",30,126.51
"30",31,127.88
"31",32,128.53
"32",33,131.21
"33",34,129.38
"34",35,132.23
"35",36,133.49
"36",37,135.24
"37",38,136.68
"38",39,135.61
"39",40,135.36
"40",41,136.95
"41",42,136.4
"42",43,137.91
"43",44,140.76
"44",45,141.36
"45",46,142.18
"46",47,139.11
"47",48,143.44
"48",49,142.15
"49",50,142.77
"50",55,147.8
"51",60,149.14
"52",65,149.23
"53",70,152.05
"54",75,154.45
"55",80,154.08
"56",85,155.77
"57",90,160.78
"58",95,159.48
"59",100,160.61
"60",120,164.99
"61",140,167.28
"62",160,166.27
"63",180,171.22
"64",200,170.92
"65",220,173.64
"66",240,173.82
"67",260,174.58
"68",280,178.81
"69",300,172.11
"70",350,178.99
"71",400,180.01
"72",450,180.86
"73",500,180.65
"74",600,185.07
"75",700,187.33
"76",800,185.18
"77",900,188.02
"78",1000,186.76
