"","n","p","sd"
"1",2,2,0.501254707117086
"2",3,2,0.484534693646114
"3",4,2,0.496318101917971
"4",5,2,0.595607877481983
"5",6,2,0.579290850477751
"6",7,2,0.567968255889792
"7",8,2,0.63054574750647
"8",9,2,0.670089621246675
"9",10,2,0.734710143508904
"10",11,2,0.748180372200938
"11",12,2,0.805695804037241
"12",13,2,0.810716538953452
"13",14,2,0.760586919629544
"14",15,2,0.845903519214275
"15",16,2,0.936139297284116
"16",17,2,0.928485555695768
"17",18,2,0.93129563393637
"18",19,2,0.896671679324441
"19",20,2,0.869918843323818
"20",21,2,0.93742671405348
"21",22,2,0.942772027309565
"22",23,2,1.03057528940669
"23",24,2,0.961560185297701
"24",25,2,1.00719771454313
"25",26,2,1.08419434924495
"26",27,2,1.04172981383136
"27",28,2,1.15545461913674
"28",29,2,1.03719761592107
"29",30,2,1.06302639930913
"30",31,2,1.03365478330789
"31",32,2,1.09772492000501
"32",33,2,1.10629764184952
"33",34,2,1.17357847294538
"34",35,2,1.11684228224807
"35",36,2,1.19747431021216
"36",37,2,1.15831058748741
"37",38,2,1.25977584350526
"38",39,2,1.16066174159053
"39",40,2,1.28139959599772
"40",41,2,1.16609342222085
"41",42,2,1.12351521225162
"42",43,2,1.24666388985619
"43",44,2,1.23125135512514
"44",45,2,1.26171893596269
"45",46,2,1.21960534023497
"46",47,2,1.21029918640104
"47",48,2,1.25244484527354
"48",49,2,1.20614007036776
"49",50,2,1.3195095784564
"50",55,2,1.26962978816463
"51",60,2,1.21626332774283
"52",65,2,1.3031079971596
"53",70,2,1.40748180276891
"54",75,2,1.42270709472714
"55",80,2,1.42779303991304
"56",85,2,1.53877031110941
"57",90,2,1.46461616217785
"58",95,2,1.63476674530582
"59",100,2,1.5694876416482
"60",120,2,1.6927201503904
"61",140,2,1.83335236780129
"62",160,2,1.81362099280077
"63",180,2,1.75951112442773
"64",200,2,1.82687227565525
"65",300,2,2.03081784154257
"66",400,2,2.20300730957256
"67",500,2,2.36387702151874
"68",2,3,0.500351635146693
"69",3,3,0.585503262460389
"70",4,3,0.629588682830099
"71",5,3,0.644087918091277
"72",6,3,0.748180372200938
"73",7,3,0.781121471839588
"74",8,3,0.853252718135152
"75",9,3,0.846497364995736
"76",10,3,1.07038714641763
"77",11,3,0.978140477625709
"78",12,3,1.15126105208604
"79",13,3,1.0483775452512
"80",14,3,1.15178471955527
"81",15,3,1.17100652492078
"82",16,3,1.17673212434365
"83",17,3,1.20066982980377
"84",18,3,1.23026123793601
"85",19,3,1.27991833910366
"86",20,3,1.3134021187847
"87",21,3,1.50575946212831
"88",22,3,1.49622640911617
"89",23,3,1.37923400195935
"90",24,3,1.50876001535022
"91",25,3,1.44388330379393
"92",26,3,1.45773797371133
"93",27,3,1.40922124686405
"94",28,3,1.5196452243995
"95",29,3,1.49033738718392
"96",30,3,1.47997521369982
"97",31,3,1.66452039359796
"98",32,3,1.64313709029023
"99",33,3,1.43003496460751
"100",34,3,1.57696196695613
"101",35,3,1.556111310948
"102",36,3,1.5498419436353
"103",37,3,1.64640616687732
"104",38,3,1.65091721118624
"105",39,3,1.5003852101692
"106",40,3,1.60398373404953
"107",41,3,1.7042586327894
"108",42,3,1.69465609976845
"109",43,3,1.76930131285725
"110",44,3,1.73651299647733
"111",45,3,1.77383977227044
"112",46,3,1.88503762142055
"113",47,3,2.00651576810106
"114",48,3,1.82896846012738
"115",49,3,1.91733037812852
"116",50,3,1.90449745412374
"117",55,3,1.79154911772076
"118",60,3,2.08728502940299
"119",65,3,2.00099849447079
"120",70,3,2.17555514777379
"121",75,3,2.21631683238375
"122",80,3,2.21674191633083
"123",85,3,2.38555114624625
"124",90,3,2.19801189291756
"125",95,3,2.41826695701217
"126",100,3,2.23249190379327
"127",120,3,2.54603840461784
"128",140,3,2.46941085073925
"129",160,3,2.68308960887374
"130",180,3,2.88325611577358
"131",200,3,3.20087927618389
"132",300,3,3.20175831089841
"133",400,3,3.68732720402567
"134",500,3,3.97897741970631
"135",2,4,0.49212389664417
"136",3,4,0.597818479702131
"137",4,4,0.687998334694724
"138",5,4,0.724846197513825
"139",6,4,0.857702318016955
"140",7,4,0.924689272813458
"141",8,4,0.973570334377491
"142",9,4,0.951578957608256
"143",10,4,1.09488302764318
"144",11,4,1.10183720491307
"145",12,4,1.26137039618897
"146",13,4,1.18618513558356
"147",14,4,1.29471286663691
"148",15,4,1.34103200341038
"149",16,4,1.43634621601524
"150",17,4,1.40990751327167
"151",18,4,1.47733292213166
"152",19,4,1.5465961977824
"153",20,4,1.40743717337042
"154",21,4,1.51354852770852
"155",22,4,1.76138792921546
"156",23,4,1.68349958546813
"157",24,4,1.57556721859193
"158",25,4,1.66276847305176
"159",26,4,1.69420383459778
"160",27,4,1.7218372797946
"161",28,4,1.79544370294706
"162",29,4,1.78429074630137
"163",30,4,1.6977001883867
"164",31,4,1.85328717872708
"165",32,4,1.71290549246905
"166",33,4,1.83461277115922
"167",34,4,1.88987649486128
"168",35,4,2.09794707024456
"169",36,4,2.01940336479584
"170",37,4,1.964247013911
"171",38,4,2.01439542908626
"172",39,4,2.0235733854326
"173",40,4,2.11743183784973
"174",41,4,2.07340178809472
"175",42,4,1.87509463747766
"176",43,4,2.30672492930941
"177",44,4,2.01969573309233
"178",45,4,2.26215866133329
"179",46,4,2.19867479502344
"180",47,4,2.26353550111858
"181",48,4,2.20495103011975
"182",49,4,2.27629249827179
"183",50,4,2.34333761028557
"184",55,4,2.31629577788616
"185",60,4,2.39961785064742
"186",65,4,2.37858430932833
"187",70,4,2.50314375200788
"188",75,4,2.50506522046712
"189",80,4,2.77418103266713
"190",85,4,2.85065451357735
"191",90,4,2.81710496822714
"192",95,4,2.87913565337807
"193",100,4,3.15438595510582
"194",120,4,3.26620813450237
"195",140,4,3.36686484648142
"196",160,4,3.44087169042232
"197",180,4,3.5506351615241
"198",200,4,3.83307150806369
"199",300,4,4.32289394506753
"200",400,4,5.50704436957268
"201",500,4,5.44677074584464
"202",2,5,0.500627746637677
"203",3,5,0.628550218267739
"204",4,5,0.624057077662696
"205",5,5,0.789122023415388
"206",6,5,0.966772073037916
"207",7,5,0.958838807775573
"208",8,5,1.06793135871866
"209",9,5,1.0320979268719
"210",10,5,1.1403517045413
"211",11,5,1.20614007036776
"212",12,5,1.31977613451151
"213",13,5,1.42058626159525
"214",14,5,1.29413054571273
"215",15,5,1.46097475549063
"216",16,5,1.42616433962503
"217",17,5,1.52697684706
"218",18,5,1.46975367983788
"219",19,5,1.72448375495553
"220",20,5,1.72940864787845
"221",21,5,1.67151722971863
"222",22,5,1.74850258979867
"223",23,5,1.79641602997853
"224",24,5,1.93489511226769
"225",25,5,1.82923632361655
"226",26,5,1.82417462577645
"227",27,5,1.96427899235292
"228",28,5,1.92230363269734
"229",29,5,2.0276914615682
"230",30,5,2.06987849520802
"231",31,5,1.86474835625636
"232",32,5,1.88166904421575
"233",33,5,2.02990209432938
"234",34,5,2.18238148469135
"235",35,5,2.28606769970581
"236",36,5,2.30786289795969
"237",37,5,2.32089048929858
"238",38,5,2.06429322836251
"239",39,5,2.20121026555071
"240",40,5,2.38352279295219
"241",41,5,2.21243629780821
"242",42,5,2.22084686640482
"243",43,5,2.08425540733737
"244",44,5,2.42176064529829
"245",45,5,2.50887369873035
"246",46,5,2.41469537806412
"247",47,5,2.50185358420191
"248",48,5,2.44126995536644
"249",49,5,2.53953167051085
"250",50,5,2.49497484906911
"251",55,5,2.62686162750348
"252",60,5,2.57313136569543
"253",65,5,2.79906660680784
"254",70,5,2.6418310613633
"255",75,5,3.09934342212043
"256",80,5,3.2434704411344
"257",85,5,2.91672959970391
"258",90,5,3.15067193918086
"259",95,5,3.35335652742144
"260",100,5,3.3917428555228
"261",120,5,3.68589597597771
"262",140,5,4.16153419235873
"263",160,5,4.12212744506606
"264",180,5,4.21754828873828
"265",200,5,4.34722807772942
"266",300,5,5.10531302718331
"267",400,5,5.64805075994672
"268",500,5,6.19647938622567
"269",2,6,0.500627746637677
"270",3,6,0.618618171581676
"271",4,6,0.715496102971102
"272",5,6,0.803744377974508
"273",6,6,0.869586628532553
"274",7,6,1.03039242170814
"275",8,6,1.05144074402267
"276",9,6,1.07782584062249
"277",10,6,1.25589064274429
"278",11,6,1.3128567952462
"279",12,6,1.3240716858032
"280",13,6,1.39917420009485
"281",14,6,1.38287262009814
"282",15,6,1.57528014577993
"283",16,6,1.64457384011114
"284",17,6,1.67076547918377
"285",18,6,1.67148716618874
"286",19,6,1.77075630436467
"287",20,6,1.80050244243826
"288",21,6,1.8008303500743
"289",22,6,1.84720350909695
"290",23,6,1.88503762142055
"291",24,6,2.02683008686101
"292",25,6,1.939894573108
"293",26,6,1.94817270395161
"294",27,6,1.91250184747176
"295",28,6,1.98027966148432
"296",29,6,2.2575334518966
"297",30,6,2.30454543201934
"298",31,6,2.32049531188113
"299",32,6,2.14938930207147
"300",33,6,2.21316299721943
"301",34,6,2.3132511003491
"302",35,6,2.13136425038969
"303",36,6,2.3933271977264
"304",37,6,2.31392985131009
"305",38,6,2.55873221591549
"306",39,6,2.47948365511449
"307",40,6,2.49320181220492
"308",41,6,2.53794816821042
"309",42,6,2.4249747447268
"310",43,6,2.60320154645338
"311",44,6,2.63039825404336
"312",45,6,2.40131873317381
"313",46,6,2.59058985153854
"314",47,6,2.56982391904083
"315",48,6,2.68850147870613
"316",49,6,2.65191691358966
"317",50,6,2.66703305690671
"318",55,6,2.69736051888586
"319",60,6,2.92584652527217
"320",65,6,3.14538427080942
"321",70,6,3.32787450840902
"322",75,6,3.15342997433193
"323",80,6,3.39461219578894
"324",85,6,3.59549900087966
"325",90,6,3.59283205995706
"326",95,6,3.54865676335717
"327",100,6,3.71356335125969
"328",120,6,3.91440773804908
"329",140,6,4.29441322238826
"330",160,6,4.53134255233845
"331",180,6,4.64195418907461
"332",200,6,4.79331349604392
"333",300,6,6.03538768618993
"334",400,6,6.71186603923553
"335",500,6,6.82795760276275
"336",2,7,0.501154446148562
"337",3,7,0.650009663631296
"338",4,7,0.810173999550552
"339",5,7,0.817137422860559
"340",6,7,0.956004562550875
"341",7,7,1.03057528940669
"342",8,7,1.07356308079321
"343",9,7,1.15349588808071
"344",10,7,1.27629134526171
"345",11,7,1.26296293567326
"346",12,7,1.54593810455515
"347",13,7,1.50975887455464
"348",14,7,1.40708901548105
"349",15,7,1.52591516324701
"350",16,7,1.62592069008678
"351",17,7,1.63103537113992
"352",18,7,1.70615203714949
"353",19,7,1.78631734253497
"354",20,7,1.76588981371173
"355",21,7,1.81804881879934
"356",22,7,1.89097300204745
"357",23,7,1.91526530956684
"358",24,7,2.14103248469109
"359",25,7,1.99818384876551
"360",26,7,1.91864037915463
"361",27,7,2.00861836561689
"362",28,7,2.05011949645594
"363",29,7,2.11239462583968
"364",30,7,2.18302611415333
"365",31,7,2.43508174720642
"366",32,7,2.1810282946607
"367",33,7,2.37319622060788
"368",34,7,2.44944358362195
"369",35,7,2.44126480934509
"370",36,7,2.23575333273242
"371",37,7,2.37894871422749
"372",38,7,2.41701984365522
"373",39,7,2.63861925214475
"374",40,7,2.71380242797637
"375",41,7,2.58712991672822
"376",42,7,2.64342837388101
"377",43,7,2.58328605349289
"378",44,7,2.69820338513198
"379",45,7,2.77526765425676
"380",46,7,2.6980311079186
"381",47,7,2.60543980604323
"382",48,7,2.78527625543598
"383",49,7,2.62188316993414
"384",50,7,2.91045593831005
"385",55,7,2.84691051799796
"386",60,7,3.01420422925826
"387",65,7,3.28816592888488
"388",70,7,3.4148802373108
"389",75,7,3.68251334316837
"390",80,7,3.6200308169376
"391",85,7,3.70353627017782
"392",90,7,3.62509400328644
"393",95,7,4.0228493114849
"394",100,7,3.86771198254207
"395",120,7,4.084829145231
"396",140,7,4.58207124392693
"397",160,7,4.843012891718
"398",180,7,5.52830769129652
"399",200,7,5.60128305473813
"400",300,7,6.0659607150875
"401",400,7,7.35305631597703
"402",500,7,8.71073386243149
"403",2,8,0.501029091723992
"404",3,8,0.630844532448846
"405",4,8,0.685528809565082
"406",5,8,0.802618203070113
"407",6,8,0.889342255962914
"408",7,8,1.0292090928397
"409",8,8,0.965484750796252
"410",9,8,1.17165004122198
"411",10,8,1.34939964316911
"412",11,8,1.40462266253987
"413",12,8,1.39744921968852
"414",13,8,1.41832940160503
"415",14,8,1.4249746537462
"416",15,8,1.4798393909866
"417",16,8,1.58482121750603
"418",17,8,1.59798082390492
"419",18,8,1.66053814610606
"420",19,8,1.71155546522827
"421",20,8,1.8044890979229
"422",21,8,1.76918770220351
"423",22,8,2.05325455590796
"424",23,8,2.13550977755904
"425",24,8,2.11695714120254
"426",25,8,1.97216815616238
"427",26,8,2.15937828387347
"428",27,8,2.14274515141666
"429",28,8,2.16666731091345
"430",29,8,2.39972779025803
"431",30,8,2.57060597435252
"432",31,8,2.34447924165962
"433",32,8,2.39227714735328
"434",33,8,2.31186039640423
"435",34,8,2.45210913215132
"436",35,8,2.25889642642743
"437",36,8,2.40802677826143
"438",37,8,2.63142489631086
"439",38,8,2.63177338609898
"440",39,8,2.63810023773199
"441",40,8,2.79172773002543
"442",41,8,2.64942868592628
"443",42,8,2.48694581715956
"444",43,8,2.92447220681651
"445",44,8,2.6635403575281
"446",45,8,2.82079499824261
"447",46,8,2.77713202991104
"448",47,8,2.95795919732936
"449",48,8,2.98936137110172
"450",49,8,2.79259609768834
"451",50,8,3.02302304683715
"452",55,8,3.32494757581372
"453",60,8,3.33097236320299
"454",65,8,3.42461896791116
"455",70,8,3.33338525922705
"456",75,8,3.54200919616658
"457",80,8,3.65232424105651
"458",85,8,3.6352683366427
"459",90,8,3.78152079162437
"460",95,8,3.88870287502803
"461",100,8,3.86770873441517
"462",120,8,4.24944572205877
"463",140,8,4.8781741373769
"464",160,8,5.11334838029754
"465",180,8,5.3004195339785
"466",200,8,5.3040138399207
"467",300,8,6.89415854985601
"468",400,8,7.83482754201171
"469",500,8,8.41820084861594
"470",2,9,0.500025124996875
"471",3,9,0.663097649266163
"472",4,9,0.779382567119414
"473",5,9,0.881923434728672
"474",6,9,0.867677544718106
"475",7,9,1.10502506849847
"476",8,9,1.18465905872835
"477",9,9,1.30402353772264
"478",10,9,1.28770763559663
"479",11,9,1.30286695850259
"480",12,9,1.41832940160503
"481",13,9,1.52821865624868
"482",14,9,1.47200850718538
"483",15,9,1.55953865101834
"484",16,9,1.5947148892167
"485",17,9,1.77780142013872
"486",18,9,1.7194132457172
"487",19,9,1.75635958589774
"488",20,9,1.97063237560916
"489",21,9,1.83318790347505
"490",22,9,2.03039714411099
"491",23,9,2.03777763468986
"492",24,9,1.93107359417777
"493",25,9,2.13898957031341
"494",26,9,2.18903158873562
"495",27,9,2.3293571049998
"496",28,9,2.20495103011975
"497",29,9,2.22858880016054
"498",30,9,2.50384628744573
"499",31,9,2.40451313514512
"500",32,9,2.29746965903162
"501",33,9,2.27566876801272
"502",34,9,2.35773078878014
"503",35,9,2.58207485421392
"504",36,9,2.78625033957358
"505",37,9,2.71455688750068
"506",38,9,2.61566598454649
"507",39,9,2.78033293982599
"508",40,9,2.6329187808462
"509",41,9,2.93479815336677
"510",42,9,2.76724832940286
"511",43,9,3.13275770755917
"512",44,9,2.89111878676681
"513",45,9,2.93394190047739
"514",46,9,2.96155856699283
"515",47,9,3.25560591123161
"516",48,9,3.52535325575884
"517",49,9,3.03817834206469
"518",50,9,3.21497360430563
"519",55,9,3.02658239686699
"520",60,9,3.03404054192594
"521",65,9,3.40100118277341
"522",70,9,3.7425168217129
"523",75,9,3.53344039217094
"524",80,9,3.71956324771724
"525",85,9,4.25314249767482
"526",90,9,4.38452910554679
"527",95,9,4.71861224382102
"528",100,9,4.40919265846906
"529",120,9,4.8859119597463
"530",140,9,5.06736280812275
"531",160,9,5.76716576881791
"532",180,9,6.31466348069094
"533",200,9,5.78257432543203
"534",300,9,7.66220083318365
"535",400,9,7.98722440957084
"536",500,9,9.38784496920508
"537",2,10,0.501154446148562
"538",3,10,0.640665483155237
"539",4,10,0.751531100470815
"540",5,10,0.876894933055318
"541",6,10,1.02568766000152
"542",7,10,1.05190662023225
"543",8,10,1.17313949784629
"544",9,10,1.23718557246014
"545",10,10,1.16134344315746
"546",11,10,1.32951610194335
"547",12,10,1.43085173355491
"548",13,10,1.44691666629284
"549",14,10,1.73378344239574
"550",15,10,1.6668132263869
"551",16,10,1.69034354689592
"552",17,10,1.780964393483
"553",18,10,1.83838879642859
"554",19,10,1.82841887375116
"555",20,10,2.03348229676491
"556",21,10,2.00921870362461
"557",22,10,1.98435463478253
"558",23,10,1.98410138134554
"559",24,10,2.08506895876709
"560",25,10,2.31384298229886
"561",26,10,2.20542957221262
"562",27,10,2.29756261500079
"563",28,10,2.13931257451016
"564",29,10,2.35727783554885
"565",30,10,2.26304704094894
"566",31,10,2.317163401911
"567",32,10,2.28210759504825
"568",33,10,2.28844047311591
"569",34,10,2.71418662682324
"570",35,10,2.51115601319652
"571",36,10,2.36481750015624
"572",37,10,2.80870416660021
"573",38,10,2.6992973215544
"574",39,10,2.84966717619363
"575",40,10,2.84309531229149
"576",41,10,2.81809925607411
"577",42,10,2.88295981353056
"578",43,10,3.06534774273974
"579",44,10,2.85241676601355
"580",45,10,2.74729652403136
"581",46,10,2.7947860643936
"582",47,10,3.12350466736248
"583",48,10,3.02681068363597
"584",49,10,3.28923552695133
"585",50,10,2.88123368328368
"586",55,10,3.33140605925761
"587",60,10,3.25822885574079
"588",65,10,3.95465503962255
